D3S1358	1.0000	TH01	1.0000	D12S391	1.0000	D1S1656	1.0000	D10S1248	1.0000	D22S1045	1.0000	D2S441	1.0000	D7S820	1.0000	D13S317	1.0000	FGA	1.0000	TPOX	1.0000	D18S51	1.0000	D16S539	1.0000	D8S1179	1.0000	CSF1PO	1.0000	D5S818	1.0000	vWA	1.0000	D21S11	1.0000	SE33	1.0000
Allele	Freq	Allele	Freq	Allele	Freq	Allele	Freq	Allele	Freq	Allele	Freq	Allele	Freq	Allele	Freq	Allele	Freq	Allele	Freq	Allele	Freq	Allele	Freq	Allele	Freq	Allele	Freq	Allele	Freq	Allele	Freq	Allele	Freq	Allele	Freq	Allele	Freq
11	0.0000	6	0.2310	15	0.0590	9	0.0060	8	0.0000	7	0.0000	8	0.0050	7	0.0110	8	0.1830	16	0.0000	7	0.0000	10	0.0000	8	0.0110	8	0.0050	8	0.0000	7	0.0050	13	0.0000	25	0.0000	7.3	0.0000
13	0.0050	7	0.1400	16	0.0380	11	0.0910	10	0.0000	11	0.1610	10	0.2100	8	0.1450	9	0.0700	18	0.0050	8	0.5110	11	0.0160	9	0.0750	9	0.0230	9	0.0430	8	0.0000	14	0.0700	26	0.0050	8	0.0000
14	0.1020	8	0.1070	17	0.1020	12	0.0970	11	0.0000	12	0.1020	11	0.3820	9	0.1080	10	0.0430	19	0.0740	9	0.1020	12	0.0910	10	0.0480	10	0.0480	10	0.2530	9	0.0430	15	0.0910	27	0.0380	11	0.0000
15	0.2420	9	0.2370	17.3	0.0000	13	0.0910	12	0.0160	14	0.0220	11.3	0.0590	10	0.3710	11	0.4350	20	0.1400	9.3	0.0000	13	0.0650	11	0.3280	11	0.0810	11	0.3170	10	0.0700	16	0.1570	28	0.2200	11.2	0.0000
16	0.2900	9.3	0.2690	18	0.1880	14	0.0590	13	0.2960	15	0.3060	12	0.0110	11	0.1930	12	0.1560	20.2	0.0000	10	0.0700	14	0.1300	12	0.3170	12	0.1720	12	0.2740	11	0.3330	17	0.3060	29	0.1830	12	0.0000
17	0.2200	10	0.0160	18.3	0.0110	14.3	0.0000	14	0.2850	16	0.3010	13	0.0220	12	0.1340	13	0.0910	21	0.2410	11	0.2630	15	0.1500	13	0.1830	13	0.3270	13	0.0810	12	0.3330	18	0.2900	29.2	0.0050	13	0.0050
18	0.1180	11	0.0000	19	0.0700	15	0.0970	15	0.2310	17	0.0970	13.2	0.0000	13	0.0380	14	0.0220	21.2	0.0000	12	0.0540	15.2	0.0000	14	0.0380	14	0.1990	14	0.0270	13	0.1930	19	0.0750	30	0.1880	14	0.0320
19	0.0230			19.3	0.0000	15.3	0.0910	16	0.1510	18	0.0110	14	0.2630	14	0.0000	15	0.0000	21.3	0.0000			16	0.1930	15	0.0000	15	0.1180	15	0.0050	14	0.0230	20	0.0110	30.2	0.0590	14.2	0.0000
20	0.0000			20	0.1510	16	0.0910	17	0.0160	19	0.0000	15	0.0430					22	0.2100			17	0.1930			16	0.0270			15	0.0000	21	0.0000	31	0.0650	15	0.0540
				20.3	0.0160	16.3	0.0430	18	0.0050			16	0.0050					22.2	0.0230			18	0.0590			17	0.0000							31.2	0.0700	15.2	0.0000
				21	0.1020	17	0.0590					17	0.0000					23	0.0960			19	0.0430											32	0.0110	15.3	0.0000
				22	0.0860	17.3	0.1880											23.2	0.0230			20	0.0380											32.2	0.0810	16	0.0540
				23	0.1350	18	0.0000											24	0.1290			21	0.0220											33	0.0000	16.2	0.0000
				24	0.0320	18.3	0.0750											24.2	0.0000			22	0.0000											33.1	0.0000	16.3	0.0000
				25	0.0050	19.2	0.0000											25	0.0540			24	0.0000											33.2	0.0650	17	0.0590
				26	0.0050	19.3	0.0060											26	0.0000			25	0.0000											34	0.0000	18	0.0700
				27	0.0000	20.3	0.0060											26.2	0.0000															34.2	0.0050	18.1	0.0050
																		27	0.0050															35.2	0.0050	18.3	0.0050
																																				19	0.0870
																																				19.2	0.0110
																																				20	0.0480
																																				20.1	0.0000
																																				20.2	0.0320
																																				20.3	0.0000
																																				21	0.0270
																																				21.2	0.0110
																																				22	0.0110
																																				22.2	0.0320
																																				23	0.0050
																																				23.2	0.0320
																																				24	0.0000
																																				24.2	0.0480
																																				25.2	0.0230
																																				26.2	0.0540
																																				27	0.0000
																																				27.2	0.0700
																																				28.2	0.0760
																																				29.2	0.0380
																																				30.2	0.0320
																																				31.2	0.0480
																																				32.2	0.0050
																																				33	0.0050
																																				33.2	0.0000
																																				34	0.0050
																																				34.2	0.0050
																																				35.2	0.0110
																																				36.2	0.0000
